titles,views_title,imdb_rating
Treehouse of Horror IV,110251,8.7
Marge vs. the Monorail,88171,9
I Love Lisa,62309,8.3
The Last Temptation of Homer,59350,8.4
Dog of Death,49665,7.7
Treehouse of Horror II,103012,8.2
Lisa's Pony,53093,7.9
Marge Gets a Job,69527,7.8
I Married Marge,47880,8.2
Last Exit to Springfield,71907,9
Lisa the Greek,49457,8
The Otto Show,50068,7.7
Rosebud,57149,8.9
Homer Alone,58991,8
Homer at the Bat,72378,8.6
Whacking Day,60739,8.1
Lisa the Beauty Queen,52203,7.8
Krusty Gets Kancelled,59948,8.2
Black Widower,57582,8.2
A Streetcar Named Marge,54487,8.1
Treehouse of Horror III,108171,8.4
Mr. Plow,63564,8.8
Homer and Apu,58716,8.3
Homer Loves Flanders,69996,8.5
Burns' Heir,81678,8.4
Sideshow Bob's Last Gleaming,61246,8
Grampa vs. Sexual Inadequacy,64719,8
A Fish Called Selma,57830,8.2
Bart's Comet,67619,8.6
Home Sweet Homediddly-Dum-Doodily,70120,8.3
Scenes from the Class Struggle in Springfield,58572,7.7
Bart vs. Australia,80724,8.5
King-Size Homer,81426,9
Secrets of a Successful Marriage,67959,8
Lisa's Rival,54225,8.1
A Star Is Burns,71936,8.5
Lisa's Wedding,74266,8.3
Another Simpsons Clip Show,42576,6
Lisa the Vegetarian,69245,8.5
The PTA Disbands,74788,8.1
Sideshow Bob Roberts,76932,8.3
Bart's Girlfriend,62450,8
Who Shot Mr. Burns? (Part Two),67579,8.9
The Springfield Connection,79777,8.2
Homer the Smithers,68354,8.9
Homer Badman,71577,9
Homer the Great,71002,8.9
The Simpsons 138th Episode Spectacular,56153,7.5
Two Bad Neighbors,64224,8.7
Lisa the Iconoclast,58795,8.1
Mother Simpson,61085,8.5
"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",69120,8.3
Homerpalooza,60569,8
Lisa's Sax,20008,8.1
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,57608,7.7
Treehouse of Horror VII,102077,8.3
Brother from Another Series,56659,8.2
The Homer They Fall,61146,8
Bart After Dark,60210,8.2
Lost Our Lisa,55316,7.7
Girly Edition,21811,7.9
Realty Bites,25183,7.5
The Old Man and the Lisa,56833,7.9
A Milhouse Divided,60956,8
"My Sister, My Sitter",54247,8.1
The Last Temptation of Krust,20298,7.5
The Cartridge Family,30921,8.2
Grade School Confidential,60584,8.2
Hurricane Neddy,66281,8.8
Simpson Tide,23127,8.3
The Simpsons Spin-Off Showcase,57926,7.3
The City of New York vs. Homer Simpson,62962,9.1
Miracle on Evergreen Terrace,19899,7.6
King of the Hill,60952,8.3
Das Bus,32487,8.1
Lard of the Dance,56018,7.6
Bart Carny,22426,7.7
Lisa the Simpson,21608,8
The Day the Violence Died,57809,8
When You Dish Upon a Star,43485,7.3
"Lisa Gets an ""A""",50013,8
"Homer Simpson in: ""Kidney Trouble""",50300,7.3
Lisa the Tree Hugger,39480,7.2
"Sunday, Cruddy Sunday",50051,6.9
