,id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
0,10,Homer's Night Out,3/25/90,7G10,1,10,10,30.3,50816.0,7.4
1,12,Krusty Gets Busted,4/29/90,7G12,1,12,12,30.4,62561.0,8.3
2,14,"Bart Gets an ""F""",10/11/90,7F03,2,1,14,33.6,59575.0,8.2
3,17,Two Cars in Every Garage and Three Eyes on Every Fish,11/1/90,7F01,2,4,17,26.1,64959.0,8.1
4,19,Dead Putting Society,11/15/90,7F08,2,6,19,25.4,50691.0,8.0
5,21,Bart the Daredevil,12/6/90,7F06,2,8,21,26.2,57605.0,8.4
6,23,Bart Gets Hit by a Car,1/10/91,7F10,2,10,23,24.8,56486.0,7.8
7,26,Homer vs. Lisa and the 8th Commandment,2/7/91,7F13,2,13,26,26.2,58277.0,8.0
8,28,"Oh Brother, Where Art Thou?",2/21/91,7F16,2,15,28,26.8,47426.0,8.2
9,30,Old Money,3/28/91,7F17,2,17,30,21.2,44331.0,7.6
10,32,Lisa's Substitute,4/25/91,7F19,2,19,32,17.7,52770.0,8.5
11,35,Blood Feud,7/11/91,7F22,2,22,35,17.3,52829.0,8.0
12,37,Mr. Lisa Goes to Washington,9/26/91,8F01,3,2,37,20.2,52098.0,7.7
13,39,Bart the Murderer,10/10/91,8F03,3,4,39,20.8,64342.0,8.7
14,41,"Like Father, Like Clown",10/24/91,8F05,3,6,41,20.2,45586.0,7.7
15,44,Saturdays of Thunder,11/14/91,8F07,3,9,44,24.7,55808.0,7.9
16,46,Burns Verkaufen der Kraftwerk,12/5/91,8F09,3,11,46,21.1,55987.0,8.2
17,48,Radio Bart,1/9/92,8F11,3,13,48,24.2,58919.0,8.5
18,51,Bart the Lover,2/13/92,8F16,3,16,51,20.5,53123.0,8.3
19,53,Separate Vocations,2/27/92,8F15,3,18,53,23.7,61508.0,8.2
20,55,Colonel Homer,3/26/92,8F19,3,20,55,25.5,46901.0,7.9
21,58,Bart's Friend Falls in Love,5/7/92,8F22,3,23,58,19.5,48058.0,7.8
22,60,Kamp Krusty,9/24/92,8F24,4,1,60,21.8,67081.0,8.4
23,65,Itchy & Scratchy: The Movie,11/3/92,9F03,4,6,65,20.1,55740.0,8.2
24,69,Lisa's First Word,12/3/92,9F08,4,10,69,28.6,62070.0,8.5
25,72,Selma's Choice,1/21/93,9F11,4,13,72,24.5,56396.0,8.0
26,7,The Call of the Simpsons,2/18/90,7G09,1,7,7,27.6,57793.0,7.9
27,24,"One Fish, Two Fish, Blowfish, Blue Fish",1/24/91,7F12,2,11,24,24.2,50206.0,8.8
28,80,Marge in Chains,5/6/93,9F20,4,21,80,17.3,68692.0,7.7
29,82,Homer's Barbershop Quartet,9/30/93,9F21,5,1,82,19.9,58390.0,8.4
30,84,Homer Goes to College,10/14/93,1F02,5,3,84,18.1,64802.0,8.6
31,87,Marge on the Lam,11/4/93,1F03,5,6,87,21.7,53490.0,8.0
32,89,Boy-Scoutz 'n the Hood,11/18/93,1F06,5,8,89,20.1,83238.0,8.7
33,92,Homer the Vigilante,1/6/94,1F09,5,11,92,20.1,74673.0,8.2
34,93,Bart Gets Famous,2/3/94,1F11,5,12,93,20.0,66267.0,8.1
35,95,Lisa vs. Malibu Stacy,2/17/94,1F12,5,14,95,20.5,61715.0,8.2
36,98,Bart Gets an Elephant,3/31/94,1F15,5,17,98,17.0,63427.0,7.9
37,102,Lady Bouvier's Lover,5/12/94,1F21,5,21,102,15.1,59503.0,7.5
38,104,Bart of Darkness,9/4/94,1F22,6,1,104,15.1,65126.0,8.6
39,107,Itchy & Scratchy Land,10/2/94,2F01,6,4,107,14.8,72722.0,8.5
40,111,Lisa on Ice,11/13/94,2F05,6,8,111,17.9,63564.0,8.4
41,114,Fear of Flying,12/18/94,2F08,6,11,114,15.6,61569.0,7.8
42,116,And Maggie Makes Three,1/22/95,2F10,6,13,116,17.3,63051.0,8.5
43,118,Homie the Clown,2/12/95,2F12,6,15,118,17.6,73123.0,8.5
44,120,Homer vs. Patty and Selma,2/26/95,2F14,6,17,120,18.9,60599.0,7.9
45,123,Two Dozen and One Greyhounds,4/9/95,2F18,6,20,123,11.6,62323.0,8.1
46,125,'Round Springfield,4/30/95,2F32,6,22,125,12.6,56001.0,8.3
47,127,Lemon of Troy,5/14/95,2F22,6,24,127,13.1,70698.0,8.6
48,130,Radioactive Man,9/24/95,2F17,7,2,130,15.7,62390.0,8.3
49,132,Bart Sells His Soul,10/8/95,3F02,7,4,132,14.8,65333.0,8.7
50,134,Treehouse of Horror VI,10/29/95,3F04,7,6,134,19.7,110342.0,8.5
51,139,Marge Be Not Proud,12/17/95,3F07,7,11,139,16.7,68970.0,8.3
52,140,Team Homer,1/7/96,3F10,7,12,140,16.7,72268.0,8.3
53,143,Bart the Fink,2/11/96,3F12,7,15,143,15.0,71230.0,7.7
54,67,New Kid on the Block,11/12/92,9F06,4,8,67,23.1,54557.0,8.2
55,149,22 Short Films About Springfield,4/14/96,3F18,7,21,149,10.5,66536.0,8.8
56,151,Much Apu About Nothing,5/5/96,3F20,7,23,151,11.3,75618.0,8.0
57,153,Summer of 4 Ft. 2,5/19/96,3F22,7,25,153,14.7,65847.0,8.3
58,157,"Burns, Baby Burns",11/17/96,4F05,8,4,157,12.6,55497.0,7.7
59,160,Lisa's Date with Density,12/15/96,4F01,8,7,160,,60912.0,7.8
60,163,The Springfield Files,1/12/97,3G01,8,10,163,20.9,69555.0,9.0
61,164,The Twisted World of Marge Simpson,1/19/97,4F08,8,11,164,14.0,71813.0,7.8
62,167,The Itchy & Scratchy & Poochie Show,2/9/97,4F12,8,14,167,15.5,58581.0,7.9
63,168,Homer's Phobia,2/16/97,4F11,8,15,168,15.3,63355.0,8.9
64,171,Homer vs. the Eighteenth Amendment,3/16/97,4F15,8,18,171,14.6,83561.0,8.7
65,173,The Canine Mutiny,4/13/97,4F16,8,20,173,,54155.0,7.7
66,175,In Marge We Trust,4/27/97,4F18,8,22,175,16.9,59088.0,8.0
67,178,The Secret War of Lisa Simpson,5/18/97,4F21,8,25,178,12.7,59196.0,7.8
68,180,The Principal and the Pauper,9/28/97,4F23,9,2,180,14.9,48414.0,7.4
69,184,Bart Star,11/9/97,5F03,9,6,184,10.6,31033.0,7.7
70,186,Lisa the Skeptic,11/23/97,5F05,9,8,186,9.3,22318.0,8.0
71,189,"All Singing, All Dancing",1/4/98,5F24,9,11,189,8.9,15780.0,5.1
72,191,The Joy of Sect,2/8/98,5F23,9,13,191,9.4,27710.0,8.2
73,196,This Little Wiggy,3/22/98,5F13,9,18,196,8.9,20739.0,7.8
74,198,The Trouble with Trillions,4/5/98,5F14,9,20,198,7.4,23426.0,7.9
75,200,Trash of the Titans,4/26/98,5F09,9,22,200,10.2,26299.0,8.5
76,203,Natural Born Kissers,5/17/98,5F18,9,25,203,8.6,53823.0,8.1
77,205,The Wizard of Evergreen Terrace,9/20/98,5F21,10,2,205,7.95,53216.0,8.2
78,207,Treehouse of Horror IX,10/25/98,AABF01,10,4,207,8.5,83169.0,8.0
79,212,Mayored to the Mob,12/20/98,AABF05,10,9,212,8.5,56762.0,8.2
80,214,Wild Barts Can't Be Broken,1/17/99,AABF07,10,11,214,8.8,57693.0,7.7
81,219,Make Room for Lisa,2/28/99,AABF12,10,16,219,7.6,53449.0,7.5
82,222,Mom and Pop Art,4/11/99,AABF15,10,19,222,8.5,47851.0,7.6
83,224,Monty Can't Buy Me Love,5/2/99,AABF17,10,21,224,7.26,44242.0,7.2
84,226,Thirty Minutes over Tokyo,5/16/99,AABF20,10,23,226,8.0,55947.0,7.9
85,229,Guess Who's Coming to Criticize Dinner?,10/24/99,AABF21,11,3,229,6.7,46141.0,7.5
86,231,E-I-E-I-(Annoyed Grunt),11/7/99,AABF19,11,5,231,8.4,51431.0,7.6
87,233,Eight Misbehavin',11/21/99,BABF03,11,7,233,9.2,40465.0,7.1
88,238,The Mansion Family,1/23/00,BABF08,11,12,238,11.3,43949.0,7.3
89,240,"Alone Again, Natura-diddily",2/13/00,BABF11,11,14,240,10.8,47392.0,7.9
90,242,Pygmoelian,2/27/00,BABF12,11,16,242,9.4,52891.0,7.3
91,245,Kill the Alligator and Run,4/30/00,BABF16,11,19,245,7.46,52176.0,6.6
92,247,"It's a Mad, Mad, Mad, Mad Marge",5/14/00,BABF18,11,21,247,7.5,54146.0,7.3
93,249,Treehouse of Horror XI,11/1/00,BABF21,12,1,249,13.2,77719.0,7.6
94,251,Insane Clown Poppy,11/12/00,BABF17,12,3,251,16.4,40443.0,7.1
95,254,The Computer Wore Menace Shoes,12/3/00,CABF02,12,6,254,15.6,51100.0,7.7
96,258,Pokey Mom,1/14/01,CABF05,12,10,258,15.0,51024.0,7.3
97,261,Day of the Jackanapes,2/18/01,CABF10,12,13,261,15.4,49986.0,7.2
98,263,"Hungry, Hungry Homer",3/4/01,CABF09,12,15,263,17.6,49811.0,7.4
99,265,Simpson Safari,4/1/01,CABF13,12,17,265,13.3,49065.0,6.9
100,268,Children of a Lesser Clod,5/13/01,CABF16,12,20,268,13.8,50070.0,7.3
101,270,Treehouse of Horror XII,11/6/01,CABF19,13,1,270,13.0,77136.0,7.5
102,272,Homer the Moe,11/18/01,CABF20,13,3,272,14.4,44651.0,7.2
103,274,The Blunder Years,12/9/01,CABF21,13,5,274,12.9,45288.0,7.7
104,279,Half-Decent Proposal,2/10/02,DABF04,13,10,279,13.2,42977.0,7.5
105,281,The Lastest Gun in the West,2/24/02,DABF07,13,12,281,13.2,44787.0,6.5
106,284,Blame It on Lisa,3/31/02,DABF10,13,15,284,11.1,50694.0,7.0
107,286,Gump Roast,4/21/02,DABF12,13,17,286,12.3,46335.0,5.6
108,70,Homer's Triple Bypass,12/17/92,9F09,4,11,70,23.6,57400.0,8.7
109,294,Bart vs. Lisa vs. the Third Grade,11/17/02,DABF20,14,3,294,13.3,43130.0,7.0
110,297,The Great Louse Detective,12/15/02,EABF01,14,6,297,15.5,48110.0,7.3
111,299,The Dad Who Knew Too Little,1/12/03,EABF03,14,8,299,12.8,47170.0,7.3
112,301,Pray Anything,2/9/03,EABF06,14,10,301,13.4,46336.0,6.8
113,306,C.E.D'oh,3/16/03,EABF10,14,15,306,13.0,47386.0,7.3
114,308,Three Gays of the Condo,4/13/03,EABF12,14,17,308,12.02,49263.0,7.2
115,311,"Brake My Wife, Please",5/11/03,EABF15,14,20,311,10.56,47288.0,6.9
116,313,Moe Baby Blues,5/18/03,EABF17,14,22,313,13.44,45931.0,7.7
117,315,My Mother the Carjacker,11/9/03,EABF18,15,2,315,12.4,34590.0,7.3
118,318,The Fat and the Furriest,11/30/03,EABF19,15,5,318,11.7,39180.0,7.2
119,320,'Tis the Fifteenth Season,12/14/03,FABF02,15,7,320,11.3,40667.0,7.2
120,322,"I, (Annoyed Grunt)-bot",1/11/04,FABF04,15,9,322,16.3,42776.0,7.3
121,326,Smart & Smarter,2/22/04,FABF09,15,13,326,12.6,43969.0,7.1
122,328,Co-Dependents' Day,3/21/04,FABF10,15,15,328,11.2,47246.0,6.9
123,331,Catch 'Em If You Can,4/25/04,FABF14,15,18,331,9.3,47274.0,7.0
124,333,The Way We Weren't,5/9/04,FABF13,15,20,333,6.6,43128.0,7.3
125,335,Fraudcast News,5/23/04,FABF18,15,22,335,9.2,44954.0,7.2
126,338,Sleeping with the Enemy,11/21/04,FABF19,16,3,338,9.95,40958.0,7.1
127,340,Fat Man and Little Boy,12/12/04,FABF21,16,5,340,10.31,44210.0,7.1
128,342,Mommie Beerest,1/30/05,GABF01,16,7,342,9.97,46256.0,7.0
129,345,There's Something About Marrying,2/20/05,GABF04,16,10,345,10.39,49371.0,7.1
130,347,Goo Goo Gai Pan,3/13/05,GABF06,16,12,347,10.28,44914.0,7.0
131,349,The Seven-Beer Snitch,4/3/05,GABF08,16,14,349,7.48,45174.0,6.9
132,352,The Heartbroke Kid,5/1/05,GABF11,16,17,352,10.79,50610.0,7.2
133,354,Thank God It's Doomsday,5/8/05,GABF14,16,19,354,10.05,46504.0,7.3
134,357,The Bonfire of the Manatees,9/11/05,GABF18,17,1,357,11.1,33933.0,6.3
135,75,Duffless,2/18/93,9F14,4,16,75,25.7,84874.0,8.3
136,363,The Last of the Red Hat Mamas,11/27/05,GABF22,17,7,363,11.46,39577.0,6.7
137,365,Simpsons Christmas Stories,12/18/05,HABF01,17,9,365,9.8,43082.0,6.9
138,368,My Fair Laddy,2/26/06,HABF05,17,12,368,9.51,39745.0,6.4
139,370,Bart Has Two Mommies,3/19/06,HABF07,17,14,370,8.75,44012.0,7.0
140,372,Million-Dollar Abie,4/2/06,HABF09,17,16,372,7.83,42303.0,6.6
141,376,Regarding Margie,5/7/06,HABF13,17,20,376,8.5,43162.0,6.7
142,379,"The Mook, the Chef, the Wife and Her Homer",9/10/06,HABF15,18,1,379,11.5,41321.0,7.5
143,381,"Please Homer, Don't Hammer 'Em",9/24/06,HABF20,18,3,381,9.72,41865.0,6.8
144,383,G.I. (Annoyed Grunt),11/12/06,HABF21,18,5,383,11.43,42160.0,6.9
145,385,Ice Cream of Margie (with the Light Blue Hair),11/26/06,HABF22,18,7,385,10.9,43032.0,7.0
146,387,"Kill Gil, Volumes I & II",12/17/06,JABF01,18,9,387,8.96,43700.0,6.4
147,390,Little Big Girl,2/11/07,JABF04,18,12,390,8.27,52730.0,7.0
148,392,Yokel Chords,3/4/07,JABF09,18,14,392,9.09,41561.0,7.1
149,394,Homerazzi,3/25/07,JABF06,18,16,394,6.91,42602.0,7.2
150,397,Crook and Ladder,5/6/07,JABF13,18,19,397,7.72,46262.0,7.1
151,399,24 Minutes,5/20/07,JABF14,18,21,399,9.8,45026.0,8.1
152,402,The Homer of Seville,9/30/07,JABF18,19,2,402,8.4,33792.0,6.7
153,406,Little Orphan Millie,11/11/07,JABF22,19,6,406,10.57,39369.0,6.7
154,408,Funeral for a Fiend,11/25/07,KABF01,19,8,408,9.0,42596.0,7.1
155,410,E Pluribus Wiggum,1/6/08,KABF03,19,10,410,8.2,44512.0,6.9
156,413,The Debarted,3/2/08,KABF06,19,13,413,8.18,42141.0,7.7
157,415,Smoke on the Daughter,3/30/08,KABF08,19,15,415,7.1,41735.0,6.7
158,417,Apocalypse Cow,4/27/08,KABF10,19,17,417,7.69,41118.0,6.9
159,419,Mona Leaves-a,5/11/08,KABF12,19,19,419,6.02,39443.0,7.1
160,422,Lost Verizon,10/5/08,KABF15,20,2,422,7.43,38186.0,6.9
161,424,Treehouse of Horror XIX,11/2/08,KABF16,20,4,424,12.48,21509.0,7.1
162,77,So It's Come to This: A Simpsons Clip Show,4/1/93,9F17,4,18,77,25.5,49139.0,7.2
163,433,Gone Maggie Gone,3/15/09,LABF04,20,13,433,5.99,43663.0,7.2
164,438,Father Knows Worst,4/26/09,LABF08,20,18,438,5.94,42390.0,7.0
165,440,Four Great Women and a Manicure,5/10/09,LABF09,20,20,440,5.16,44718.0,6.3
166,442,Homer the Whopper,9/27/09,LABF13,21,1,442,8.31,39936.0,7.1
167,448,Rednecks and Broomsticks,11/29/09,LABF19,21,7,448,9.02,37909.0,6.8
168,450,Thursdays with Abie,1/3/10,MABF02,21,9,450,8.65,36227.0,6.8
169,452,Million Dollar Maybe,1/31/10,MABF03,21,11,452,5.11,40854.0,7.1
170,455,Postcards from the Wedge,3/14/10,MABF04,21,14,455,5.23,41357.0,7.1
171,457,The Greatest Story Ever D'ohed,3/28/10,MABF10,21,16,457,5.69,44070.0,5.7
172,462,Moe Letter Blues,5/9/10,MABF13,21,21,462,5.66,40904.0,6.9
173,464,Judge Me Tender,5/23/10,MABF15,21,23,464,5.74,41830.0,6.6
174,466,Loan-a Lisa,10/3/10,MABF17,22,2,466,8.59,35051.0,6.8
175,469,"Lisa Simpson, This Isn't Your Life",11/14/10,MABF20,22,5,469,8.97,40637.0,7.2
176,472,The Fight Before Christmas,12/5/10,MABF22,22,8,472,9.54,43781.0,6.9
177,473,Donnie Fatso,12/12/10,MABF19,22,9,473,7.18,40276.0,7.0
178,476,Homer the Father,1/23/11,NABF05,22,12,476,6.5,42691.0,7.0
179,478,Angry Dad: The Movie,2/20/11,NABF07,22,14,478,6.35,42693.0,7.2
180,480,A Midsummer's Nice Dream,3/13/11,NABF09,22,16,480,5.44,38893.0,6.1
181,482,The Great Simpsina,4/10/11,NABF11,22,18,482,4.99,41560.0,7.0
182,485,500 Keys,5/15/11,NABF14,22,21,485,6.0,46660.0,7.3
183,487,The Falcon and the D'ohman,9/25/11,NABF16,23,1,487,8.08,39209.0,7.2
184,489,Treehouse of Horror XXII,10/30/11,NABF19,23,3,489,8.1,63816.0,6.6
185,491,The Food Wife,11/13/11,NABF20,23,5,491,7.5,42746.0,7.2
186,494,The Ten-Per-Cent Solution,12/4/11,PABF02,23,8,494,9.01,39002.0,6.2
187,496,"Politically Inept, with Homer Simpson",1/8/12,PABF03,23,10,496,5.07,44074.0,6.1
188,498,Moe Goes from Rags to Riches,1/29/12,PABF05,23,12,498,5.12,39838.0,5.7
189,447,Pranks and Greens,11/22/09,LABF18,21,6,447,7.03,,6.7
190,91,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",12/16/93,1F08,5,10,91,17.9,82216.0,8.5
191,504,Beware My Cheating Bart,4/15/12,PABF11,23,18,504,4.86,43422.0,7.1
192,506,The Spy Who Learned Me,5/6/12,PABF13,23,20,506,4.84,43544.0,6.9
193,508,Lisa Goes Gaga,5/20/12,PABF14,23,22,508,4.82,44434.0,4.5
194,513,Penny-Wiseguys,11/18/12,PABF19,24,5,513,5.06,36897.0,6.3
195,516,To Cur with Love,12/16/12,RABF01,24,8,516,3.77,40726.0,7.2
196,518,A Test Before Trying,1/13/13,RABF03,24,10,518,5.04,41542.0,7.0
197,520,Love is a Many-Splintered Thing,2/10/13,RABF07,24,12,520,4.19,41828.0,6.5
198,522,Gorgeous Grampa,3/3/13,RABF06,24,14,522,4.66,39510.0,6.2
199,525,What Animated Women Want,4/14/13,RABF08,24,17,525,4.11,43471.0,6.5
200,527,Whiskey Business,5/5/13,RABF13,24,19,527,4.43,42810.0,6.8
201,531,Homerland,9/29/13,RABF20,25,1,531,6.37,47531.0,7.0
202,534,YOLO,11/10/13,RABF22,25,4,534,4.2,44551.0,6.7
203,536,The Kid Is All Right,11/24/13,SABF02,25,6,536,6.78,39590.0,6.5
204,538,White Christmas Blues,12/15/13,SABF01,25,8,538,8.48,39290.0,6.5
205,541,Specs and the City,1/26/14,SABF06,25,11,541,3.87,44119.0,7.2
206,543,The Man Who Grew Too Much,3/9/14,SABF07,25,13,543,3.75,44512.0,6.7
207,545,The War of Art,3/23/14,SABF10,25,15,545,3.98,41726.0,7.0
208,547,Luca$,4/6/14,SABF12,25,17,547,4.3,45184.0,6.5
209,550,Brick Like Me,5/4/14,RABF21,25,20,550,4.39,65613.0,7.7
210,552,The Yellow Badge of Cowardge,5/18/14,SABF18,25,22,552,3.28,46408.0,6.7
211,554,The Wreck of the Relationship,10/5/14,SABF17,26,2,554,4.27,38411.0,6.9
212,557,Opposites A-Frack,11/2/14,SABF22,26,5,557,4.22,36410.0,6.3
213,559,Blazed and Confused,11/16/14,TABF01,26,7,559,6.7,43513.0,6.9
214,562,The Man Who Came to Be Dinner,1/4/15,RABF15,26,10,562,10.62,36622.0,6.8
215,564,The Musk Who Fell to Earth,1/25/15,TABF04,26,12,564,3.29,35848.0,5.8
216,570,Peeping Mom,4/19/15,TABF11,26,18,570,3.23,40157.0,6.7
217,9,Life on the Fast Lane,3/18/90,7G11,1,9,9,33.5,64776.0,7.5
218,11,The Crepes of Wrath,4/15/90,7G13,1,11,11,31.2,60458.0,7.8
219,13,Some Enchanted Evening,5/13/90,7G01,1,13,13,27.1,57590.0,7.9
220,15,Simpson and Delilah,10/18/90,7F02,2,2,15,29.9,58553.0,8.3
221,16,Treehouse of Horror,10/25/90,7F04,2,3,16,27.4,130282.0,8.2
222,18,Dancin' Homer,11/8/90,7F05,2,5,18,26.1,49005.0,7.5
223,20,Bart vs. Thanksgiving,11/22/90,7F07,2,7,20,25.9,47539.0,7.7
224,22,Itchy & Scratchy & Marge,12/20/90,7F09,2,9,22,22.2,55413.0,8.1
225,25,The Way We Was,1/31/91,7F11,2,12,25,26.8,51182.0,8.2
226,27,Principal Charming,2/14/91,7F15,2,14,27,23.9,46823.0,7.5
227,29,"Bart's Dog Gets an ""F""",3/7/91,7F14,2,16,29,23.9,47780.0,7.5
228,33,The War of the Simpsons,5/2/91,7F20,2,20,33,19.7,51997.0,7.9
229,573,Bull-E,5/10/15,TABF15,26,21,573,2.77,43978.0,6.8
230,576,Cue Detective,10/4/15,TABF17,27,2,576,6.02,178.0,6.7
231,580,Friend with Benefit,11/8/15,TABF21,27,6,580,3.48,175.0,6.8
232,583,Barthood,12/13/15,VABF02,27,9,583,5.97,182.0,8.4
233,585,Teenage Mutant Milk-Caused Hurdles,1/10/16,VABF04,27,11,585,8.33,172.0,6.8
234,598,"Friends and Family""[203]",10/2/16,VABF18,28,2,598,,,
235,599,"The Town""[205]",10/9/16,VABF17,28,3,599,,,
236,600,"Treehouse of Horror XXVII""[207]",10/16/16,VABF16,28,4,600,,,
237,588,Gal of Constant Sorrow,2/21/16,VABF06,27,14,588,3.1,144.0,6.6
238,590,The Marge-ian Chronicles,3/13/16,VABF09,27,16,590,3.07,201.0,7.3
239,593,Fland Canyon,4/24/16,VABF12,27,19,593,2.77,192.0,7.1
240,595,Simprovised,5/15/16,VABF13,27,21,595,2.8,228.0,6.4
241,1,Simpsons Roasting on an Open Fire,12/17/89,7G08,1,1,1,26.7,171408.0,8.2
242,2,Bart the Genius,1/14/90,7G02,1,2,2,24.5,91423.0,7.8
243,4,There's No Disgrace Like Home,1/28/90,7G04,1,4,4,20.2,67378.0,7.8
244,6,Moaning Lisa,2/11/90,7G06,1,6,6,27.4,55355.0,7.6
245,8,The Telltale Head,2/25/90,7G07,1,8,8,28.0,66311.0,7.7
246,34,Three Men and a Comic Book,5/9/91,7F21,2,21,34,21.0,50403.0,8.4
247,36,Stark Raving Dad,9/19/91,7F24,3,1,36,22.9,55238.0,8.6
248,38,When Flanders Failed,10/3/91,7F23,3,3,38,22.8,53499.0,8.2
249,40,Homer Defined,10/17/91,8F04,3,5,40,20.6,50601.0,8.5
250,78,The Front,4/15/93,9F16,4,19,78,20.1,53404.0,8.1
251,73,Brother from the Same Planet,2/4/93,9F12,4,14,73,23.8,59040.0,8.1
252,86,Treehouse of Horror IV,10/28/93,1F04,5,5,86,24.0,110251.0,8.7
253,71,Marge vs. the Monorail,1/14/93,9F10,4,12,71,23.0,88171.0,9.0
254,74,I Love Lisa,2/11/93,9F13,4,15,74,25.2,62309.0,8.3
255,90,The Last Temptation of Homer,12/9/93,1F07,5,9,90,20.6,59350.0,8.4
256,54,Dog of Death,3/12/92,8F17,3,19,54,23.4,49665.0,7.7
257,42,Treehouse of Horror II,10/31/91,8F02,3,7,42,20.0,103012.0,8.2
258,43,Lisa's Pony,11/7/91,8F06,3,8,43,23.0,53093.0,7.9
