Measure type,Year,New Conifers,New Broadleaves,Total New,Unit of Measure
Total New,2008,,,7.53,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2018,,,9.05,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2007,,,10.83,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1996,,,16.68,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1985,,,22.54,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2017,,,6.52,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1979,,0.9,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2006,,,8.8,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1995,,,20.25,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1984,,,26.01,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1989,,3.37,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1978,,0.75,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2016,,,5.61,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2005,,,11.97,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1994,,,18.73,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1983,,,22.34,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1993,,,19.17,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1982,,,24.55,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1999,,10.36,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1988,,3.27,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1977,,0.88,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2015,,,10.3,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2004,,,12.36,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1998,,9.92,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1992,,,18.16,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1987,,2.08,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1976,,0.93,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1981,,,21.24,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2009,,5.22,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2014,,,12.89,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2003,,,13.69,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2013,,,10.79,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2002,,,14.4,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1997,,9.88,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1986,,1.37,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1991,,,20.31,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1980,,,25.38,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2019,,5.42,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2008,,6.67,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1996,,9.26,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2012,,,12.77,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1985,,1.34,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2001,,,18.74,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,1990,,,21.31,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2018,,3.92,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2007,,8.69,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2006,,7.66,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1995,,10.8,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1984,,1.05,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2011,,,9.1,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2000,,,17.9,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2017,,2.96,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2016,,3.68,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,2005,,9.87,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1994,,11.34,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
New Broadleaves,1983,,0.99,,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2021,,,13.29,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
Total New,2010,,,5.44,http://gss-data.org.uk/def/concept/measurement-units/thousand-hectares
